StartTime,EndTime,Confidence
0.001,3,0.287
0.201,3.2,0.30001
0.401,3.4,0.31136
0.601,3.6,0.30819
0.801,3.8,0.30007
1.001,4,0.32552
1.201,4.2,0.31605
1.401,4.4,0.36917
1.601,4.6,0.46558
1.801,4.8,0.42207
2.001,5,0.96459
2.201,5.2,0.23175
2.401,5.4,0.23264
2.601,5.6,0.20447
2.801,5.8,0.2478
3.001,6,0.26079
3.201,6.2,0.21931
3.401,6.4,0.21642
3.601,6.6,0.20164
3.801,6.8,0.1966
4.001,7,0.12242
4.201,7.2,0.16104
4.401,7.4,0.14827
4.601,7.6,0.16431
4.801,7.8,0.22442
5.001,8,0.22264
5.201,8.2,0.24821
5.401,8.4,0.21875
5.601,8.6,0.20568
5.801,8.8,0.18291
6.001,9,0.1803
6.201,9.2,0.18025
6.401,9.4,0.18297
6.601,9.6,0.18002
6.801,9.8,0.2142
7.001,10,0.18915
7.201,10.2,0.23644
7.401,10.4,0.18555
7.601,10.6,0.14136
7.801,10.8,0.15881
8.001,11,0.13194
8.201,11.2,0.13613
8.401,11.4,0.13452
8.601,11.6,0.15542
8.801,11.8,0.14823
9.001,12,0.15819
9.201,12.2,0.12187
9.401,12.4,0.1371
9.601,12.6,0.13168
9.801,12.8,0.14691
10.001,13,0.11468
10.201,13.2,0.13534
10.401,13.4,0.17634
10.601,13.6,0.19563
10.801,13.8,0.23574
11.001,14,0.21308
11.201,14.2,0.13221
11.401,14.4,0.18133
11.601,14.6,0.16647
11.801,14.8,0.1678
12.001,15,0.19632
12.201,15.2,0.15021
12.401,15.4,0.14091
12.601,15.6,0.13701
12.801,15.8,0.17292
13.001,16,0.11694
13.201,16.2,0.086494
13.401,16.4,0.021167
13.601,16.6,0.011036
13.801,16.8,0.019754
14.001,17,0.083419
14.201,17.2,0.12479
14.401,17.4,0.16262
14.601,17.6,0.10208
14.801,17.8,0.10033
15.001,18,0.076661
15.201,18.2,0.03564
15.401,18.4,0.075712
15.601,18.6,0.0058864
15.801,18.8,0.057428
16.001,19,0.034007
16.201,19.2,0.042607
16.401,19.4,0.079975
16.601,19.6,0.061323
16.801,19.8,0.040313
17.001,20,0.12085
17.201,20.2,0.094859
17.401,20.4,0.10209
17.601,20.6,0.1203
17.801,20.8,0.070317
18.001,21,0.063567
18.201,21.2,0.089785
18.401,21.4,0.093709
18.601,21.6,0.036376
18.801,21.8,0.05926
19.001,22,0.020645
19.201,22.2,0.0017068
19.401,22.4,0.015897
19.601,22.6,0.074744
19.801,22.8,0.15489
20.001,23,0.15295
20.201,23.2,0.20678
20.401,23.4,0.20973
20.601,23.6,0.15954
20.801,23.8,0.2471
21.001,24,0.24303
21.201,24.2,0.24743
21.401,24.4,0.25238
21.601,24.6,0.23854
21.801,24.8,0.19394
22.001,25,0.19699
22.201,25.2,0.13655
22.401,25.4,0.14983
22.601,25.6,0.11769
22.801,25.8,0.093219
23.001,26,0.10505
23.201,26.2,0.088601
23.401,26.4,0.087505
23.601,26.6,0.082306
23.801,26.8,0.090488
24.001,27,0.08758
24.201,27.2,0.085147
24.401,27.4,0.093485
24.601,27.6,0.095704
24.801,27.8,0.10208
25.001,28,0.10118
25.201,28.2,0.09243
25.401,28.4,0.097942
25.601,28.6,0.094004
25.801,28.8,0.088027
26.001,29,0.10021
26.201,29.2,0.094586
26.401,29.4,0.083253
26.601,29.6,0.10032
26.801,29.8,0.09093
27.001,30,0.068838
27.201,30.2,0.082211
27.401,30.4,0.071947
27.601,30.6,0.066695
27.801,30.8,0.066758
28.001,31,0.062474
28.201,31.2,0.065886
28.401,31.4,0.082074
28.601,31.6,0.090972
28.801,31.8,0.062663
29.001,32,0.087279
29.201,32.2,0.089375
29.401,32.4,0.096455
29.601,32.6,0.070434
29.801,32.8,0.11801
30.001,33,0.08626
30.201,33.2,0.1185
30.401,33.4,0.14905
30.601,33.6,0.15949
30.801,33.8,0.19493
31.001,34,0.20354
31.201,34.2,0.18
31.401,34.4,0.15575
31.601,34.6,0.2356
31.801,34.8,0.20055
32.001,35,0.19601
32.201,35.2,0.1405
32.401,35.4,0.062298
32.601,35.6,0.088601
32.801,35.8,0.082677
33.001,36,0.056342
33.201,36.2,0.045284
33.401,36.4,0.0063916
33.601,36.6,0.037769
33.801,36.8,0.078964
34.001,37,0.018154
34.201,37.2,0.11015
34.401,37.4,0.089315
34.601,37.6,0.10325
34.801,37.8,0.17663
35.001,38,0.27537
35.201,38.2,0.33783
35.401,38.4,0.28604
35.601,38.6,0.272
35.801,38.8,0.20337
36.001,39,0.2388
36.201,39.2,0.22209
36.401,39.4,0.2555
36.601,39.6,0.28219
36.801,39.8,0.17832
37.001,40,0.071673
37.201,40.2,0.070903
37.401,40.4,0.044637
37.601,40.6,0.051201
37.801,40.8,0.01622
38.001,41,0.021423
38.201,41.2,0.041528
38.401,41.4,0.051158
38.601,41.6,0.059634
38.801,41.8,0.04472
39.001,42,0.0018702
39.201,42.2,0.023313
39.401,42.4,0.020185
39.601,42.6,0.045986
39.801,42.8,0.094644
40.001,43,0.21591
40.201,43.2,0.21929
40.401,43.4,0.24628
40.601,43.6,0.33275
40.801,43.8,0.26173
41.001,44,0.26208
41.201,44.2,0.23407
41.401,44.4,0.22177
41.601,44.6,0.23819
41.801,44.8,0.25625
42.001,45,0.18813
42.201,45.2,0.16509
42.401,45.4,0.15529
42.601,45.6,0.19088
42.801,45.8,0.14376
43.001,46,0.15334
43.201,46.2,0.16203
43.401,46.4,0.15047
43.601,46.6,0.17741
43.801,46.8,0.25067
44.001,47,0.26662
44.201,47.2,0.2953
44.401,47.4,0.29406
44.601,47.6,0.27553
44.801,47.8,0.30196
45.001,48,0.33007
45.201,48.2,0.27214
45.401,48.4,0.30067
45.601,48.6,0.27989
45.801,48.8,0.25199
46.001,49,0.26485
46.201,49.2,0.26508
46.401,49.4,0.18671
46.601,49.6,0.22484
46.801,49.8,0.25626
47.001,50,0.20157
47.201,50.2,0.19281
47.401,50.4,0.19601
47.601,50.6,0.14952
47.801,50.8,0.14776
48.001,51,0.14214
48.201,51.2,0.18298
